OBJECTID,Gestor de red,Nombre del gestor,Provincia,Municipio,Coordenada X,Coordenada Y,Subestación,Nivel de tensión (kV),Capacidad disponible (MW),Nudo reservado,Capacidad ocupada (MW),Capacidad admitida y no evaluada (MW),Nudo 0*,x,y
2533,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Lorca,613503.29,4169456.2,ST HIPICA,66,0,No,0,0,0,613503.29,4169456.2
2534,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Lorca,613503.29,4169456.2,ST HIPICA,20,0,No,70.08,0,0,613503.29,4169456.2
2535,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Lorca,613503.29,4169456.2,ST HIPICA,20,0,No,58.61,0,0,613503.29,4169456.2
2536,R1-017,MAESTRAZGO DISTRIBUCION ELECTRICA SL,Castellón/Castelló,Morella,748483.12,4506272.12,S.E. TORREMIRÓ,30,2.55,No,0.28,0,0,748483.12,4506272.12
2537,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Lorca,613503.29,4169456.2,ST HIPICA,20,0,No,67.09,0,0,613503.29,4169456.2
2538,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,"Alcázares, Los",687285.81,4179261.14,ST HOYAMORENA,20,0,No,20.9,0,0,687285.81,4179261.14
2539,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,"Alcázares, Los",687285.81,4179261.14,ST HOYAMORENA,20,0,No,168.25,0,0,687285.81,4179261.14
2540,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,"Alcázares, Los",687285.81,4179261.14,ST HOYAMORENA,66,0,No,0.4,0,1,687285.81,4179261.14
2541,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Jumilla,645747.45,4258560.79,ST JUMILLA,132,0,No,3.53,0,1,645747.45,4258560.79
2542,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Jumilla,645747.45,4258560.79,ST JUMILLA,20,0,No,9.3,0,0,645747.45,4258560.79
2543,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Salamanca,"Fuente de San Esteban, La",226565.54,4520322.57,STR FUENTE S ESTEBAN,13,0,No,4.45,0,0,226565.54,4520322.57
2544,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Jumilla,645747.45,4258560.79,ST JUMILLA,20,0,No,20.32,0,0,645747.45,4258560.79
2545,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,667930.17,4174758.95,ST LA ALJORRA,132,34.72,No,13.8,0,0,667930.17,4174758.95
2546,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,679903.17,4167145.12,ST LA ASOMADA,132,36.64,No,10.55,0,0,679903.17,4167145.12
2547,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,679903.17,4167145.12,ST LA ASOMADA,66,0,No,20,0,0,679903.17,4167145.12
2548,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,679903.17,4167145.12,ST LA ASOMADA,20,0.95,No,37.4,0,0,679903.17,4167145.12
2549,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,679903.17,4167145.12,ST LA ASOMADA,20,0.66,No,29.3,0,0,679903.17,4167145.12
2550,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,674139.88,4169197.28,ST LA GUIA,132,44.93,No,0.48,0,0,674139.88,4169197.28
2551,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,674139.88,4169197.28,ST LA GUIA,20,0.83,No,27.61,0,0,674139.88,4169197.28
2552,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cartagena,674139.88,4169197.28,ST LA GUIA,20,14.03,No,0,0,0,674139.88,4169197.28
2553,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Fuente Álamo de Murcia,657428.65,4170074.96,ST LAS PALAS,132,25.45,No,75,0,0,657428.65,4170074.96
2554,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Caravaca de la Cruz,602404.33,4219913.4,ST LENTISCO,132,0,No,13.75,0,1,602404.33,4219913.4
2555,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Caravaca de la Cruz,602404.33,4219913.4,ST LENTISCO,66,0,No,0,0,0,602404.33,4219913.4
2556,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Caravaca de la Cruz,602404.33,4219913.4,ST LENTISCO,20,0,No,33.25,0,0,602404.33,4219913.4
2557,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Alhama de Murcia,643939.17,4176492.56,ST LIMITE,132,21.56,No,0,0,0,643939.17,4176492.56
2558,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Alhama de Murcia,643939.17,4176492.56,ST LIMITE,20,0,No,20.83,0,0,643939.17,4176492.56
2559,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Águilas,624172.52,4142586.49,ST LOS ATEROS,132,38.71,No,1.57,15.96,0,624172.52,4142586.49
2560,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Águilas,624172.52,4142586.49,ST LOS ATEROS,20,0,No,103.8,4.28,0,624172.52,4142586.49
2561,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Jumilla,651167.18,4248154.57,ST LUZENTIA,132,0,No,0,0,1,651167.18,4248154.57
2562,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Jumilla,651167.18,4248154.57,ST LUZENTIA,20,0,No,1.6,0,0,651167.18,4248154.57
2563,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Fuente Álamo de Murcia,661104.56,4172066.44,ST MAYORDOMOS,132,25.93,No,0,0,0,661104.56,4172066.44
2564,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Fuente Álamo de Murcia,661104.56,4172066.44,ST MAYORDOMOS,20,25.93,No,1.6,0,0,661104.56,4172066.44
2565,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Fuente Álamo de Murcia,661104.56,4172066.44,ST MAYORDOMOS,20,25.93,No,11.65,0,0,661104.56,4172066.44
2566,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Molina de Segura,657982.14,4215930.14,ST MOLINA DEL SEGURA,132,0,No,0.7,0,1,657982.14,4215930.14
2567,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Molina de Segura,657982.14,4215930.14,ST MOLINA DEL SEGURA,20,0,No,61.88,2.75,0,657982.14,4215930.14
2568,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Molina de Segura,657982.14,4215930.14,ST MOLINA DEL SEGURA,20,0,No,51.26,0,0,657982.14,4215930.14
2569,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,663832.67,4203543.5,ST MURCIA,20,0,No,88.54,0,0,663832.67,4203543.5
2570,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,663832.67,4203543.5,ST MURCIA,20,0,No,51.25,0,0,663832.67,4203543.5
2571,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Lorca,610208.04,4156107.12,ST NOGALTE,132,25.49,No,0,0,0,610208.04,4156107.12
2572,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Lorca,610208.04,4156107.12,ST NOGALTE,20,0,No,9.8,0,0,610208.04,4156107.12
2573,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,666261.74,4205794.01,ST PARQUE DE LEVANTE,132,0,No,0,0,1,666261.74,4205794.01
2574,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,666261.74,4205794.01,ST PARQUE DE LEVANTE,20,0,No,51.58,0,0,666261.74,4205794.01
